compound_a,compound_b,shared_core,fragment_a,fragment_b,assignees_a,assignees_b,pIC50_median_a,pIC50_median_b,activity_delta_b_minus_a
DPC0001,DPC0002,Fc1ccc([*:1])cc1,F[*:1],Cl[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.75,5.885,0.1349999999999998
DPC0001,DPC0003,Fc1ccc([*:1])cc1,F[*:1],Br[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.75,5.79,0.040000000000000036
DPC0001,DPC0004,Fc1ccc([*:1])cc1,F[*:1],C[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.75,5.62,-0.1299999999999999
DPC0001,DPC0005,Fc1ccc([*:1])cc1,F[*:1],CC[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.75,5.63,-0.1200000000000001
DPC0001,DPC0006,Fc1ccc([*:1])cc1,F[*:1],CCC[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.75,5.5649999999999995,-0.1850000000000005
DPC0001,DPC0007,Fc1ccc([*:1])cc1,F[*:1],CO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.35,-0.40000000000000036
DPC0001,DPC0008,Fc1ccc([*:1])cc1,F[*:1],CCO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.47,-0.28000000000000025
DPC0001,DPC0009,Fc1ccc([*:1])cc1,F[*:1],N[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.48,-0.2699999999999996
DPC0001,DPC0010,Fc1ccc([*:1])cc1,F[*:1],CN[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.65,-0.09999999999999964
DPC0001,DPC0011,Fc1ccc([*:1])cc1,F[*:1],CN(C)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.75,0.0
DPC0001,DPC0012,Fc1ccc([*:1])cc1,F[*:1],N#C[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.77,0.019999999999999574
DPC0001,DPC0013,Fc1ccc([*:1])cc1,F[*:1],FC(F)(F)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.6,-0.15000000000000036
DPC0001,DPC0014,Fc1ccc([*:1])cc1,F[*:1],NC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.46,-0.29000000000000004
DPC0001,DPC0015,Fc1ccc([*:1])cc1,F[*:1],CNC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.5,-0.25
DPC0001,DPC0016,Fc1ccc([*:1])cc1,F[*:1],NS(=O)(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.45,-0.2999999999999998
DPC0001,DPC0017,Fc1ccc([*:1])cc1,F[*:1],FC(F)(F)O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.6,-0.15000000000000036
