compound_id,smiles,patent_id,assignee,publication_date,year,series,assay_id,standard_relation,pIC50,project_note,source_row,raw_smiles,standardized_smiles,status,analysis_value,analysis_relation,is_exact_measurement,measurement_qc_flag
DPC0001,Fc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,=,5.54,primary measurement,1,Fc1ccc(F)cc1,Fc1ccc(F)cc1,accepted,5.54,=,True,usable_exact_value
DPC0002,Fc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.72,primary measurement,2,Fc1ccc(Cl)cc1,Fc1ccc(Cl)cc1,accepted,5.72,=,True,usable_exact_value
DPC0003,Fc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.64,primary measurement,3,Fc1ccc(Br)cc1,Fc1ccc(Br)cc1,accepted,5.64,=,True,usable_exact_value
DPC0004,Cc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.45,primary measurement,4,Cc1ccc(F)cc1,Cc1ccc(F)cc1,accepted,5.45,=,True,usable_exact_value
DPC0005,CCc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.39,primary measurement,5,CCc1ccc(F)cc1,CCc1ccc(F)cc1,accepted,5.39,=,True,usable_exact_value
DPC0006,CCCc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.24,primary measurement,6,CCCc1ccc(F)cc1,CCCc1ccc(F)cc1,accepted,5.24,=,True,usable_exact_value
DPC0007,COc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-08,=,5.35,primary measurement,7,COc1ccc(F)cc1,COc1ccc(F)cc1,accepted,5.35,=,True,usable_exact_value
DPC0008,CCOc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-09,=,5.47,primary measurement,8,CCOc1ccc(F)cc1,CCOc1ccc(F)cc1,accepted,5.47,=,True,usable_exact_value
DPC0009,Nc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-10,=,5.48,primary measurement,9,Nc1ccc(F)cc1,Nc1ccc(F)cc1,accepted,5.48,=,True,usable_exact_value
DPC0010,CNc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-11,=,5.65,primary measurement,10,CNc1ccc(F)cc1,CNc1ccc(F)cc1,accepted,5.65,=,True,usable_exact_value
DPC0011,CN(C)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-12,=,5.75,primary measurement,11,CN(C)c1ccc(F)cc1,CN(C)c1ccc(F)cc1,accepted,5.75,=,True,usable_exact_value
DPC0012,N#Cc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-01,=,5.77,primary measurement,12,N#Cc1ccc(F)cc1,N#Cc1ccc(F)cc1,accepted,5.77,=,True,usable_exact_value
DPC0013,Fc1ccc(C(F)(F)F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,=,5.6,primary measurement,13,Fc1ccc(C(F)(F)F)cc1,Fc1ccc(C(F)(F)F)cc1,accepted,5.6,=,True,usable_exact_value
DPC0014,NC(=O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.46,primary measurement,14,NC(=O)c1ccc(F)cc1,NC(=O)c1ccc(F)cc1,accepted,5.46,=,True,usable_exact_value
DPC0015,CNC(=O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.5,primary measurement,15,CNC(=O)c1ccc(F)cc1,CNC(=O)c1ccc(F)cc1,accepted,5.5,=,True,usable_exact_value
DPC0016,NS(=O)(=O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.45,primary measurement,16,NS(=O)(=O)c1ccc(F)cc1,NS(=O)(=O)c1ccc(F)cc1,accepted,5.45,=,True,usable_exact_value
DPC0017,Fc1ccc(OC(F)(F)F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.6,primary measurement,17,Fc1ccc(OC(F)(F)F)cc1,Fc1ccc(OC(F)(F)F)cc1,accepted,5.6,=,True,usable_exact_value
DPC0018,Fc1ccc(N2CCOCC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.95,primary measurement,18,Fc1ccc(N2CCOCC2)cc1,Fc1ccc(N2CCOCC2)cc1,accepted,5.95,=,True,usable_exact_value
