compound_id,smiles,patent_id,assignee,publication_date,year,series,assay_id,standard_relation,pIC50,project_note
DPC0001,Fc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,=,5.54,primary measurement
DPC0002,Fc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.72,primary measurement
DPC0003,Fc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.64,primary measurement
DPC0004,Cc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.45,primary measurement
DPC0005,CCc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.39,primary measurement
DPC0006,CCCc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.24,primary measurement
DPC0007,COc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-08,=,5.35,primary measurement
DPC0008,CCOc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-09,=,5.47,primary measurement
DPC0009,Nc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-10,=,5.48,primary measurement
DPC0010,CNc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-11,=,5.65,primary measurement
DPC0011,CN(C)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-12,=,5.75,primary measurement
DPC0012,N#Cc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-01,=,5.77,primary measurement
DPC0013,Fc1ccc(C(F)(F)F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,=,5.6,primary measurement
DPC0014,NC(=O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.46,primary measurement
DPC0015,CNC(=O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.5,primary measurement
DPC0016,NS(=O)(=O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.45,primary measurement
DPC0017,Fc1ccc(OC(F)(F)F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.6,primary measurement
DPC0018,Fc1ccc(N2CCOCC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.95,primary measurement
DPC0019,Fc1ccc(C2CC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-08,=,5.74,primary measurement
DPC0020,Fc1ccc(C2CCCCC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-09,=,5.86,primary measurement
DPC0021,Oc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-10,=,5.58,primary measurement
DPC0022,O=C(O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-11,=,5.51,primary measurement
