compound_id,patent_id,assignees,pIC50_median,Core,R1,R2
DPC0001,DEMO-101-A1,Mosaic Medicines | Northstar Therapeutics,5.75,c1cc([*:2])ccc1[*:1],F[*:1],F[*:2]
DPC0002,DEMO-101-A1,Mosaic Medicines | Northstar Therapeutics,5.885,c1cc([*:2])ccc1[*:1],F[*:1],Cl[*:2]
DPC0003,DEMO-101-A1,Mosaic Medicines | Northstar Therapeutics,5.79,c1cc([*:2])ccc1[*:1],F[*:1],Br[*:2]
DPC0004,DEMO-101-A1,Mosaic Medicines | Northstar Therapeutics,5.62,c1cc([*:2])ccc1[*:1],F[*:1],C[*:2]
DPC0005,DEMO-101-A1,Mosaic Medicines | Northstar Therapeutics,5.63,c1cc([*:2])ccc1[*:1],F[*:1],CC[*:2]
DPC0006,DEMO-101-A1,Mosaic Medicines | Northstar Therapeutics,5.5649999999999995,c1cc([*:2])ccc1[*:1],F[*:1],CCC[*:2]
DPC0007,DEMO-101-A1,Northstar Therapeutics,5.35,c1cc([*:2])ccc1[*:1],F[*:1],CO[*:2]
DPC0008,DEMO-101-A1,Northstar Therapeutics,5.47,c1cc([*:2])ccc1[*:1],F[*:1],CCO[*:2]
DPC0009,DEMO-101-A1,Northstar Therapeutics,5.48,c1cc([*:2])ccc1[*:1],F[*:1],N[*:2]
DPC0010,DEMO-101-A1,Northstar Therapeutics,5.65,c1cc([*:2])ccc1[*:1],F[*:1],CN[*:2]
DPC0011,DEMO-101-A1,Northstar Therapeutics,5.75,c1cc([*:2])ccc1[*:1],F[*:1],CN(C)[*:2]
DPC0012,DEMO-101-A1,Northstar Therapeutics,5.77,c1cc([*:2])ccc1[*:1],F[*:1],N#C[*:2]
DPC0013,DEMO-101-A1,Northstar Therapeutics,5.6,c1cc([*:2])ccc1[*:1],F[*:1],FC(F)(F)[*:2]
DPC0014,DEMO-101-A1,Northstar Therapeutics,5.46,c1cc([*:2])ccc1[*:1],F[*:1],NC(=O)[*:2]
DPC0015,DEMO-101-A1,Northstar Therapeutics,5.5,c1cc([*:2])ccc1[*:1],F[*:1],CNC(=O)[*:2]
DPC0016,DEMO-101-A1,Northstar Therapeutics,5.45,c1cc([*:2])ccc1[*:1],F[*:1],NS(=O)(=O)[*:2]
DPC0017,DEMO-101-A1,Northstar Therapeutics,5.6,c1cc([*:2])ccc1[*:1],F[*:1],FC(F)(F)O[*:2]
DPC0021,DEMO-101-A1,Northstar Therapeutics,5.58,c1cc([*:2])ccc1[*:1],F[*:1],O[*:2]
DPC0022,DEMO-101-A1,Northstar Therapeutics,5.51,c1cc([*:2])ccc1[*:1],F[*:1],O=C(O)[*:2]
DPC0023,DEMO-101-A1,Northstar Therapeutics,,c1cc([*:2])ccc1[*:1],Cl[*:1],Cl[*:2]
DPC0024,DEMO-101-A1,Northstar Therapeutics,5.48,c1cc([*:2])ccc1[*:1],Br[*:1],Cl[*:2]
DPC0025,DEMO-101-A1,Northstar Therapeutics,5.46,c1cc([*:2])ccc1[*:1],C[*:1],Cl[*:2]
DPC0026,DEMO-101-A1,Northstar Therapeutics,5.64,c1cc([*:2])ccc1[*:1],CC[*:1],Cl[*:2]
DPC0027,DEMO-101-A1,Northstar Therapeutics,5.67,c1cc([*:2])ccc1[*:1],CCC[*:1],Cl[*:2]
DPC0028,DEMO-101-A1,Northstar Therapeutics,5.82,c1cc([*:2])ccc1[*:1],CO[*:1],Cl[*:2]
DPC0029,DEMO-101-A1,Northstar Therapeutics,5.81,c1cc([*:2])ccc1[*:1],CCO[*:1],Cl[*:2]
DPC0030,DEMO-101-A1,Northstar Therapeutics,5.59,c1cc([*:2])ccc1[*:1],N[*:1],Cl[*:2]
DPC0031,DEMO-101-A1,Northstar Therapeutics,5.54,c1cc([*:2])ccc1[*:1],CN[*:1],Cl[*:2]
DPC0032,DEMO-101-A1,Northstar Therapeutics,5.54,c1cc([*:2])ccc1[*:1],CN(C)[*:1],Cl[*:2]
DPC0033,DEMO-101-A1,Northstar Therapeutics,5.64,c1cc([*:2])ccc1[*:1],N#C[*:1],Cl[*:2]
DPC0034,DEMO-101-A1,Northstar Therapeutics,5.69,c1cc([*:2])ccc1[*:1],FC(F)(F)[*:1],Cl[*:2]
DPC0035,DEMO-101-A1,Northstar Therapeutics,5.77,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],Cl[*:2]
DPC0036,DEMO-101-A1,Northstar Therapeutics,5.94,c1cc([*:2])ccc1[*:1],CNC(=O)[*:1],Cl[*:2]
DPC0037,DEMO-101-A1,Northstar Therapeutics,,c1cc([*:2])ccc1[*:1],NS(=O)(=O)[*:1],Cl[*:2]
DPC0038,DEMO-101-A1,Northstar Therapeutics,5.83,c1cc([*:2])ccc1[*:1],FC(F)(F)O[*:1],Cl[*:2]
DPC0042,DEMO-101-A1,Northstar Therapeutics,5.53,c1cc([*:2])ccc1[*:1],O[*:1],Cl[*:2]
DPC0043,DEMO-101-A1,Northstar Therapeutics,5.7,c1cc([*:2])ccc1[*:1],O=C(O)[*:1],Cl[*:2]
DPC0044,DEMO-101-A1,Northstar Therapeutics,5.74,c1cc([*:2])ccc1[*:1],Br[*:1],Br[*:2]
DPC0045,DEMO-101-A1,Northstar Therapeutics,5.72,c1cc([*:2])ccc1[*:1],C[*:1],Br[*:2]
DPC0046,DEMO-101-A1,Northstar Therapeutics,,c1cc([*:2])ccc1[*:1],CC[*:1],Br[*:2]
DPC0047,DEMO-101-A1,Northstar Therapeutics,5.59,c1cc([*:2])ccc1[*:1],CCC[*:1],Br[*:2]
DPC0048,DEMO-101-A1,Northstar Therapeutics,5.58,c1cc([*:2])ccc1[*:1],CO[*:1],Br[*:2]
DPC0049,DEMO-101-A1,Northstar Therapeutics,5.53,c1cc([*:2])ccc1[*:1],CCO[*:1],Br[*:2]
DPC0050,DEMO-101-A1,Northstar Therapeutics,5.41,c1cc([*:2])ccc1[*:1],N[*:1],Br[*:2]
DPC0051,DEMO-101-A1,Northstar Therapeutics,5.55,c1cc([*:2])ccc1[*:1],CN[*:1],Br[*:2]
DPC0052,DEMO-101-A1,Northstar Therapeutics,5.74,c1cc([*:2])ccc1[*:1],CN(C)[*:1],Br[*:2]
DPC0053,DEMO-101-A1,Northstar Therapeutics,5.91,c1cc([*:2])ccc1[*:1],N#C[*:1],Br[*:2]
DPC0054,DEMO-101-A1,Northstar Therapeutics,5.87,c1cc([*:2])ccc1[*:1],FC(F)(F)[*:1],Br[*:2]
DPC0055,DEMO-102-A1,Helixbridge Pharma | Northstar Therapeutics,5.925000000000001,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],Br[*:2]
DPC0056,DEMO-102-A1,Helixbridge Pharma | Northstar Therapeutics,5.94,c1cc([*:2])ccc1[*:1],CNC(=O)[*:1],Br[*:2]
DPC0057,DEMO-102-A1,Helixbridge Pharma | Northstar Therapeutics,5.75,c1cc([*:2])ccc1[*:1],NS(=O)(=O)[*:1],Br[*:2]
DPC0058,DEMO-102-A1,Helixbridge Pharma | Northstar Therapeutics,5.695,c1cc([*:2])ccc1[*:1],FC(F)(F)O[*:1],Br[*:2]
DPC0062,DEMO-102-A1,Helixbridge Pharma,5.93,c1cc([*:2])ccc1[*:1],O[*:1],Br[*:2]
DPC0063,DEMO-102-A1,Helixbridge Pharma,5.99,c1cc([*:2])ccc1[*:1],O=C(O)[*:1],Br[*:2]
DPC0064,DEMO-102-A1,Helixbridge Pharma,5.73,c1cc([*:2])ccc1[*:1],C[*:1],C[*:2]
DPC0065,DEMO-102-A1,Helixbridge Pharma,5.7,c1cc([*:2])ccc1[*:1],C[*:1],CC[*:2]
DPC0066,DEMO-102-A1,Helixbridge Pharma,5.55,c1cc([*:2])ccc1[*:1],C[*:1],CCC[*:2]
DPC0067,DEMO-102-A1,Helixbridge Pharma,5.65,c1cc([*:2])ccc1[*:1],C[*:1],CO[*:2]
DPC0068,DEMO-102-A1,Helixbridge Pharma,5.76,c1cc([*:2])ccc1[*:1],C[*:1],CCO[*:2]
DPC0069,DEMO-102-A1,Helixbridge Pharma,,c1cc([*:2])ccc1[*:1],C[*:1],N[*:2]
DPC0070,DEMO-102-A1,Helixbridge Pharma,5.93,c1cc([*:2])ccc1[*:1],C[*:1],CN[*:2]
DPC0071,DEMO-102-A1,Helixbridge Pharma,6.03,c1cc([*:2])ccc1[*:1],C[*:1],CN(C)[*:2]
DPC0072,DEMO-102-A1,Helixbridge Pharma,6.04,c1cc([*:2])ccc1[*:1],C[*:1],N#C[*:2]
DPC0073,DEMO-102-A1,Helixbridge Pharma,5.86,c1cc([*:2])ccc1[*:1],C[*:1],FC(F)(F)[*:2]
DPC0074,DEMO-102-A1,Helixbridge Pharma,,c1cc([*:2])ccc1[*:1],C[*:1],NC(=O)[*:2]
DPC0075,DEMO-102-A1,Helixbridge Pharma,5.67,c1cc([*:2])ccc1[*:1],C[*:1],CNC(=O)[*:2]
DPC0076,DEMO-102-A1,Helixbridge Pharma,5.57,c1cc([*:2])ccc1[*:1],C[*:1],NS(=O)(=O)[*:2]
DPC0077,DEMO-102-A1,Helixbridge Pharma,5.69,c1cc([*:2])ccc1[*:1],C[*:1],FC(F)(F)O[*:2]
DPC0081,DEMO-102-A1,Helixbridge Pharma,5.73,c1cc([*:2])ccc1[*:1],C[*:1],O[*:2]
DPC0082,DEMO-102-A1,Helixbridge Pharma,5.69,c1cc([*:2])ccc1[*:1],C[*:1],O=C(O)[*:2]
DPC0083,DEMO-102-A1,Helixbridge Pharma,5.66,c1cc([*:2])ccc1[*:1],CC[*:1],CC[*:2]
DPC0084,DEMO-102-A1,Helixbridge Pharma,5.59,c1cc([*:2])ccc1[*:1],CCC[*:1],CC[*:2]
DPC0085,DEMO-102-A1,Helixbridge Pharma,5.78,c1cc([*:2])ccc1[*:1],CO[*:1],CC[*:2]
DPC0086,DEMO-102-A1,Helixbridge Pharma,5.96,c1cc([*:2])ccc1[*:1],CCO[*:1],CC[*:2]
DPC0087,DEMO-102-A1,Helixbridge Pharma,5.98,c1cc([*:2])ccc1[*:1],N[*:1],CC[*:2]
DPC0088,DEMO-102-A1,Helixbridge Pharma,6.11,c1cc([*:2])ccc1[*:1],CN[*:1],CC[*:2]
DPC0089,DEMO-102-A1,Helixbridge Pharma,6.16,c1cc([*:2])ccc1[*:1],CN(C)[*:1],CC[*:2]
DPC0090,DEMO-102-A1,Helixbridge Pharma,6.12,c1cc([*:2])ccc1[*:1],N#C[*:1],CC[*:2]
DPC0091,DEMO-102-A1,Helixbridge Pharma,5.92,c1cc([*:2])ccc1[*:1],FC(F)(F)[*:1],CC[*:2]
DPC0092,DEMO-102-A1,Helixbridge Pharma,,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],CC[*:2]
DPC0093,DEMO-102-A1,Helixbridge Pharma,5.81,c1cc([*:2])ccc1[*:1],CNC(=O)[*:1],CC[*:2]
DPC0094,DEMO-102-A1,Helixbridge Pharma,5.76,c1cc([*:2])ccc1[*:1],NS(=O)(=O)[*:1],CC[*:2]
DPC0095,DEMO-102-A1,Helixbridge Pharma,5.88,c1cc([*:2])ccc1[*:1],FC(F)(F)O[*:1],CC[*:2]
DPC0099,DEMO-102-A1,Helixbridge Pharma,5.66,c1cc([*:2])ccc1[*:1],O[*:1],CC[*:2]
DPC0100,DEMO-102-A1,Helixbridge Pharma,5.61,c1cc([*:2])ccc1[*:1],O=C(O)[*:1],CC[*:2]
DPC0101,DEMO-102-A1,Helixbridge Pharma,5.44,c1cc([*:2])ccc1[*:1],CCC[*:1],CCC[*:2]
DPC0102,DEMO-102-A1,Helixbridge Pharma,5.62,c1cc([*:2])ccc1[*:1],CCC[*:1],CO[*:2]
DPC0103,DEMO-102-A1,Helixbridge Pharma,5.81,c1cc([*:2])ccc1[*:1],CCC[*:1],CCO[*:2]
DPC0104,DEMO-102-A1,Helixbridge Pharma,5.85,c1cc([*:2])ccc1[*:1],CCC[*:1],N[*:2]
DPC0105,DEMO-102-A1,Helixbridge Pharma,6.03,c1cc([*:2])ccc1[*:1],CCC[*:1],CN[*:2]
DPC0106,DEMO-102-A1,Helixbridge Pharma,6.12,c1cc([*:2])ccc1[*:1],CCC[*:1],CN(C)[*:2]
DPC0107,DEMO-102-A1,Helixbridge Pharma,6.12,c1cc([*:2])ccc1[*:1],CCC[*:1],N#C[*:2]
DPC0108,DEMO-102-A1,Helixbridge Pharma,5.95,c1cc([*:2])ccc1[*:1],CCC[*:1],FC(F)(F)[*:2]
DPC0109,DEMO-103-A1,Helixbridge Pharma | Kestrel BioDiscovery,5.82,c1cc([*:2])ccc1[*:1],CCC[*:1],NC(=O)[*:2]
DPC0110,DEMO-103-A1,Helixbridge Pharma | Kestrel BioDiscovery,5.93,c1cc([*:2])ccc1[*:1],CCC[*:1],CNC(=O)[*:2]
DPC0111,DEMO-103-A1,Helixbridge Pharma | Kestrel BioDiscovery,5.89,c1cc([*:2])ccc1[*:1],CCC[*:1],NS(=O)(=O)[*:2]
DPC0112,DEMO-103-A1,Helixbridge Pharma | Kestrel BioDiscovery,6.0,c1cc([*:2])ccc1[*:1],CCC[*:1],FC(F)(F)O[*:2]
DPC0116,DEMO-103-A1,Kestrel BioDiscovery,5.8,c1cc([*:2])ccc1[*:1],CCC[*:1],O[*:2]
DPC0117,DEMO-103-A1,Kestrel BioDiscovery,5.71,c1cc([*:2])ccc1[*:1],CCC[*:1],O=C(O)[*:2]
DPC0118,DEMO-103-A1,Kestrel BioDiscovery,5.81,c1cc([*:2])ccc1[*:1],CO[*:1],CO[*:2]
DPC0119,DEMO-103-A1,Kestrel BioDiscovery,5.88,c1cc([*:2])ccc1[*:1],CCO[*:1],CO[*:2]
DPC0120,DEMO-103-A1,Kestrel BioDiscovery,5.87,c1cc([*:2])ccc1[*:1],N[*:1],CO[*:2]
