standardized_smiles,compound_id,n_measurements,mean,median,std,mad,minimum,maximum,range,ci95_lower,ci95_upper,replicate_disagreement,source_rows
Brc1ccc(Br)cc1,DPC0044,1,5.74,5.74,,0.0,5.74,5.74,0.0,,,False,44
Brc1ccc(C2CC2)cc1,DPC0060,1,5.78,5.78,,0.0,5.78,5.78,0.0,,,False,60
Brc1ccc(C2CCCCC2)cc1,DPC0061,1,6.04,6.04,,0.0,6.04,6.04,0.0,,,False,61
Brc1ccc(N2CCOCC2)cc1,DPC0059,2,5.890000000000001,5.890000000000001,0.08485281374238578,0.06000000000000005,5.83,5.95,0.1200000000000001,5.7724,6.007600000000001,False,59 | 221
CCCc1ccc(Br)cc1,DPC0047,1,5.59,5.59,,0.0,5.59,5.59,0.0,,,False,47
CCCc1ccc(C#N)cc1,DPC0107,1,6.12,6.12,,0.0,6.12,6.12,0.0,,,False,107
CCCc1ccc(C(=O)NC)cc1,DPC0110,2,5.93,5.93,0.07071067811865513,0.050000000000000266,5.88,5.98,0.10000000000000053,5.831999999999999,6.0280000000000005,False,110 | 224
CCCc1ccc(C(=O)O)cc1,DPC0117,1,5.71,5.71,,0.0,5.71,5.71,0.0,,,False,117
CCCc1ccc(C(F)(F)F)cc1,DPC0108,1,5.95,5.95,,0.0,5.95,5.95,0.0,,,False,108
CCCc1ccc(C(N)=O)cc1,DPC0109,2,5.82,5.82,0.16970562748477155,0.1200000000000001,5.7,5.94,0.2400000000000002,5.5848,6.0552,False,109 | 223
CCCc1ccc(C)cc1,DPC0066,1,5.55,5.55,,0.0,5.55,5.55,0.0,,,False,66
CCCc1ccc(C2CC2)cc1,DPC0114,2,5.904999999999999,5.904999999999999,0.21920310216782946,0.1549999999999998,5.75,6.06,0.3099999999999996,5.6011999999999995,6.208799999999999,False,114 | 228
CCCc1ccc(CC)cc1,DPC0084,1,5.59,5.59,,0.0,5.59,5.59,0.0,,,False,84
CCCc1ccc(CCC)cc1,DPC0101,1,5.44,5.44,,0.0,5.44,5.44,0.0,,,False,101
CCCc1ccc(Cl)cc1,DPC0027,1,5.67,5.67,,0.0,5.67,5.67,0.0,,,False,27
CCCc1ccc(F)cc1,DPC0006,2,5.5649999999999995,5.5649999999999995,0.45961940777125554,0.32499999999999973,5.24,5.89,0.6499999999999995,4.928,6.201999999999999,False,6 | 240
CCCc1ccc(N(C)C)cc1,DPC0106,1,6.12,6.12,,0.0,6.12,6.12,0.0,,,False,106
CCCc1ccc(N)cc1,DPC0104,1,5.85,5.85,,0.0,5.85,5.85,0.0,,,False,104
CCCc1ccc(N2CCOCC2)cc1,DPC0113,2,6.24,6.24,0.14142135623730964,0.10000000000000009,6.14,6.34,0.20000000000000018,6.0440000000000005,6.436,False,113 | 227
CCCc1ccc(NC)cc1,DPC0105,1,6.03,6.03,,0.0,6.03,6.03,0.0,,,False,105
CCCc1ccc(O)cc1,DPC0116,1,5.8,5.8,,0.0,5.8,5.8,0.0,,,False,116
CCCc1ccc(OC(F)(F)F)cc1,DPC0112,2,6.0,6.0,0.05656854249492385,0.040000000000000036,5.96,6.04,0.08000000000000007,5.9216,6.0784,False,112 | 226
CCCc1ccc(OC)cc1,DPC0102,1,5.62,5.62,,0.0,5.62,5.62,0.0,,,False,102
CCCc1ccc(OCC)cc1,DPC0103,1,5.81,5.81,,0.0,5.81,5.81,0.0,,,False,103
CCCc1ccc(S(N)(=O)=O)cc1,DPC0225,1,5.89,5.89,,0.0,5.89,5.89,0.0,,,False,225
CCOc1ccc(Br)cc1,DPC0049,1,5.53,5.53,,0.0,5.53,5.53,0.0,,,False,49
CCOc1ccc(C(=O)NC)cc1,DPC0141,1,6.31,6.31,,0.0,6.31,6.31,0.0,,,False,141
CCOc1ccc(C(F)(F)F)cc1,DPC0139,1,6.32,6.32,,0.0,6.32,6.32,0.0,,,False,139
CCOc1ccc(C(N)=O)cc1,DPC0140,1,6.29,6.29,,0.0,6.29,6.29,0.0,,,False,140
CCOc1ccc(C)cc1,DPC0068,1,5.76,5.76,,0.0,5.76,5.76,0.0,,,False,68
CCOc1ccc(C2CC2)cc1,DPC0145,1,5.92,5.92,,0.0,5.92,5.92,0.0,,,False,145
CCOc1ccc(C2CCCCC2)cc1,DPC0146,1,6.16,6.16,,0.0,6.16,6.16,0.0,,,False,146
CCOc1ccc(CC)cc1,DPC0086,1,5.96,5.96,,0.0,5.96,5.96,0.0,,,False,86
CCOc1ccc(Cl)cc1,DPC0029,1,5.81,5.81,,0.0,5.81,5.81,0.0,,,False,29
CCOc1ccc(F)cc1,DPC0008,1,5.47,5.47,,0.0,5.47,5.47,0.0,,,False,8
CCOc1ccc(N(C)C)cc1,DPC0137,1,6.11,6.11,,0.0,6.11,6.11,0.0,,,False,137
CCOc1ccc(N)cc1,DPC0135,1,5.92,5.92,,0.0,5.92,5.92,0.0,,,False,135
