compound_id,smiles,patent_id,assignee,publication_date,year,series,assay_id,standard_relation,pIC50,project_note,source_row,raw_smiles,standardized_smiles,status,duplicate_group_size,source_rows,patent_ids,assignees,molecular_weight,clogp,tpsa,hbd,hba,rotatable_bonds,heavy_atoms,rings,pIC50_median,n_measurements,murcko_scaffold,scaffold_id,cluster_id
DPC0001,Fc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,=,5.54,primary measurement,1,Fc1ccc(F)cc1,Fc1ccc(F)cc1,accepted,2,1 | 235,DEMO-101-A1 | DEMO-104-A1,Mosaic Medicines | Northstar Therapeutics,114.094,1.965,0.0,0,0,0,8,1,5.75,2.0,c1ccccc1,S001,C020
DPC0002,Fc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.72,primary measurement,2,Fc1ccc(Cl)cc1,Fc1ccc(Cl)cc1,accepted,2,2 | 236,DEMO-101-A1 | DEMO-104-A1,Mosaic Medicines | Northstar Therapeutics,130.549,2.479,0.0,0,0,0,8,1,5.885,2.0,c1ccccc1,S001,C019
DPC0003,Fc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.64,primary measurement,3,Fc1ccc(Br)cc1,Fc1ccc(Br)cc1,accepted,2,3 | 237,DEMO-101-A1 | DEMO-104-A1,Mosaic Medicines | Northstar Therapeutics,175.0,2.588,0.0,0,0,0,8,1,5.79,2.0,c1ccccc1,S001,C018
DPC0004,Cc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.45,primary measurement,4,Cc1ccc(F)cc1,Cc1ccc(F)cc1,accepted,2,4 | 238,DEMO-101-A1 | DEMO-104-A1,Mosaic Medicines | Northstar Therapeutics,110.131,2.134,0.0,0,0,0,8,1,5.62,2.0,c1ccccc1,S001,C017
DPC0005,CCc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.39,primary measurement,5,CCc1ccc(F)cc1,CCc1ccc(F)cc1,accepted,2,5 | 239,DEMO-101-A1 | DEMO-104-A1,Mosaic Medicines | Northstar Therapeutics,124.158,2.388,0.0,0,0,1,9,1,5.63,2.0,c1ccccc1,S001,C005
DPC0006,CCCc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.24,primary measurement,6,CCCc1ccc(F)cc1,CCCc1ccc(F)cc1,accepted,2,6 | 240,DEMO-101-A1 | DEMO-104-A1,Mosaic Medicines | Northstar Therapeutics,138.185,2.778,0.0,0,0,2,10,1,5.5649999999999995,2.0,c1ccccc1,S001,C002
DPC0007,COc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-08,=,5.35,primary measurement,7,COc1ccc(F)cc1,COc1ccc(F)cc1,accepted,1,7,DEMO-101-A1,Northstar Therapeutics,126.13,1.834,9.23,0,1,1,9,1,5.35,1.0,c1ccccc1,S001,C004
DPC0008,CCOc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-09,=,5.47,primary measurement,8,CCOc1ccc(F)cc1,CCOc1ccc(F)cc1,accepted,1,8,DEMO-101-A1,Northstar Therapeutics,140.157,2.224,9.23,0,1,2,10,1,5.47,1.0,c1ccccc1,S001,C001
DPC0009,Nc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-10,=,5.48,primary measurement,9,Nc1ccc(F)cc1,Nc1ccc(F)cc1,accepted,1,9,DEMO-101-A1,Northstar Therapeutics,111.119,1.408,26.02,1,1,0,8,1,5.48,1.0,c1ccccc1,S001,C015
DPC0010,CNc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-11,=,5.65,primary measurement,10,CNc1ccc(F)cc1,CNc1ccc(F)cc1,accepted,1,10,DEMO-101-A1,Northstar Therapeutics,125.146,1.867,12.03,1,1,1,9,1,5.65,1.0,c1ccccc1,S001,C008
